City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Huarmey,PE,2021-05-17 07:45:38,-10.0681,-78.1522,64.36,89,5,7.67
68,Aliwal North,ZA,2021-05-17 07:45:38,-30.6937,26.7114,53.04,54,1,6.29
69,Vardo,NO,2021-05-17 07:45:39,70.3705,31.1107,35.6,100,90,9.22
70,Atuona,PF,2021-05-17 07:45:39,-9.8,-139.0333,79.45,68,43,14.36
71,Victoria,HK,2021-05-17 07:42:15,22.2855,114.1577,91.0,75,41,1.01
72,Louis Trichardt,ZA,2021-05-17 07:45:40,-23.0439,29.9032,74.34,33,5,4.76
73,Hobart,AU,2021-05-17 07:43:51,-42.8794,147.3294,51.01,57,20,11.5
74,Thompson,CA,2021-05-17 07:45:41,55.7435,-97.8558,26.6,74,40,5.75
75,Codrington,AU,2021-05-17 07:45:41,-38.2667,141.9667,52.36,82,8,5.61
76,Saskylakh,RU,2021-05-17 07:45:41,71.9167,114.0833,25.83,93,100,20.49
77,Palm Springs,US,2021-05-17 07:45:42,33.8303,-116.5453,71.6,37,1,6.91
78,Dikson,RU,2021-05-17 07:45:42,73.5069,80.5464,27.14,75,100,9.78
79,Veraval,IN,2021-05-17 07:45:42,20.9,70.3667,82.22,76,100,33.6
80,Srandakan,ID,2021-05-17 07:45:43,-7.9386,110.2506,82.53,72,93,11.45
81,Itamaraju,BR,2021-05-17 07:45:43,-17.0392,-39.5311,62.74,95,96,2.06
82,Punta Arenas,CL,2021-05-17 07:42:31,-53.15,-70.9167,44.6,87,90,23.02
83,Muscatine,US,2021-05-17 07:45:44,41.4667,-91.1335,59.0,100,90,6.91
84,Dire Dawa,ET,2021-05-17 07:45:44,9.5931,41.8661,85.08,40,81,6.2
85,Rio Grande,BR,2021-05-17 07:45:45,-32.035,-52.0986,53.89,90,47,6.53
86,Sisimiut,GL,2021-05-17 07:45:45,66.9395,-53.6735,33.73,69,52,2.64
87,Elblag,PL,2021-05-17 07:45:46,54.1522,19.4088,62.01,67,0,9.22
88,Hithadhoo,MV,2021-05-17 07:45:47,-0.6,73.0833,84.74,71,56,9.24
89,Fort Nelson,CA,2021-05-17 07:45:03,58.8053,-122.7002,41.0,93,40,3.44
90,Mbuji-Mayi,CD,2021-05-17 07:45:47,-6.15,23.6,83.25,46,98,6.35
91,Luderitz,NA,2021-05-17 07:45:48,-26.6481,15.1594,66.31,51,4,10.69
92,Talnakh,RU,2021-05-17 07:45:48,69.4865,88.3972,26.35,87,100,5.37
93,Bluff,NZ,2021-05-17 07:45:49,-46.6,168.3333,46.0,89,100,3.0
94,Businga,CD,2021-05-17 07:45:49,3.3333,20.8833,85.87,60,44,1.68
