City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Khatanga,RU,2020-12-25 01:03:43,71.97,102.5,-27.78,85,8,10.04
71,Merauke,ID,2020-12-25 01:03:43,-8.47,140.33,85.75,67,94,4.12
72,Bethel,US,2020-12-25 01:03:44,41.37,-73.41,55.0,100,90,5.82
73,Matay,EG,2020-12-25 01:03:44,28.42,30.78,52.65,77,77,11.56
74,Cabo San Lucas,MX,2020-12-25 01:03:44,22.89,-109.91,75.2,50,75,10.29
75,Kodinar,IN,2020-12-25 01:03:44,20.79,70.7,67.1,40,0,10.18
76,Broken Hill,AU,2020-12-25 01:03:45,-31.95,141.43,75.2,29,0,10.29
77,Bowen,AU,2020-12-25 01:03:45,-20.02,148.23,75.2,100,75,6.93
78,Ushuaia,AR,2020-12-25 01:01:20,-54.8,-68.3,53.6,30,40,17.22
79,Kodinsk,RU,2020-12-25 01:03:45,58.69,99.18,-19.89,83,100,6.15
80,New Glasgow,CA,2020-12-25 01:03:46,45.58,-62.65,41.0,93,14,16.11
81,Alibag,IN,2020-12-25 01:03:46,18.64,72.88,73.4,69,0,4.25
82,Half Moon Bay,US,2020-12-25 01:03:46,37.46,-122.43,57.0,47,75,5.82
83,Kashi,CN,2020-12-25 01:03:47,39.45,75.98,12.2,85,40,6.71
84,Curuguaty,PY,2020-12-25 01:03:47,-24.47,-55.69,79.72,60,53,3.94
85,Gusau,NG,2020-12-25 01:03:47,12.16,6.66,66.06,26,0,11.86
86,Grootfontein,NA,2020-12-25 01:03:48,-19.57,18.12,71.44,60,11,3.6
87,Auki,SB,2020-12-25 01:03:48,-8.77,160.7,78.75,89,100,7.99
88,Dunedin,NZ,2020-12-25 00:59:48,-45.87,170.5,55.0,67,52,14.0
89,Rio Grande,BR,2020-12-25 01:03:48,-32.03,-52.1,73.0,86,100,5.01
90,Ribeira Grande,PT,2020-12-25 01:03:49,38.52,-28.7,58.21,64,19,14.74
91,North Battleford,CA,2020-12-25 01:02:34,52.78,-108.28,30.2,74,1,5.82
92,Tual,ID,2020-12-25 01:03:49,-5.67,132.75,84.2,72,100,3.02
93,Jabinyanah,TN,2020-12-25 01:03:49,35.03,10.91,51.8,81,0,4.7
94,Hithadhoo,MV,2020-12-25 01:03:49,-0.6,73.08,81.68,72,0,9.04
95,Ancud,CL,2020-12-25 00:59:52,-41.87,-73.82,60.01,87,90,6.93
96,Luganville,VU,2020-12-25 01:03:50,-15.53,167.17,87.8,74,40,9.17
