City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
81,Morwell,AU,-38.23,146.4,67.6,52,4,3.98,clear sky
82,Angoram,PG,-4.06,144.07,77.54,93,100,3.74,overcast clouds
83,Westport,US,41.14,-73.36,28.0,63,59,14.79,broken clouds
84,Hermanus,ZA,-34.42,19.23,80.01,61,0,3.0,clear sky
85,Beloha,MG,-25.17,45.05,101.32,27,0,8.34,clear sky
86,Aksu,CN,41.12,80.26,32.61,72,29,1.81,scattered clouds
87,Sistranda,NO,63.73,8.83,35.6,74,75,20.8,broken clouds
88,Hobart,AU,-42.88,147.33,70.0,52,20,20.8,few clouds
89,Hilo,US,19.73,-155.09,68.0,72,20,6.93,few clouds
90,Ngara,TZ,-2.51,30.66,72.1,73,6,3.0,light rain
91,Okhotsk,RU,59.38,143.3,-18.98,77,99,19.64,overcast clouds
92,Katsuura,JP,35.13,140.3,48.2,42,40,1.12,scattered clouds
93,Kirkwall,GB,58.98,-2.96,42.8,87,100,20.8,overcast clouds
94,Bengkulu,ID,-3.8,102.27,84.67,67,100,7.4,overcast clouds
95,Lavrentiya,RU,65.58,-171.0,11.05,87,100,10.54,overcast clouds
96,Wajir,KE,1.75,40.06,91.09,25,100,14.52,overcast clouds
97,Lata,PT,40.16,-8.33,33.01,85,0,4.09,clear sky
98,Esperance,AU,-33.87,121.9,64.4,68,75,19.46,broken clouds
99,Luanda,AO,-8.84,13.23,80.6,74,75,5.82,broken clouds
100,Udaipura,IN,23.08,78.5,79.16,20,0,3.33,clear sky
101,Port Moresby,PG,-9.44,147.18,87.8,66,40,17.22,moderate rain
102,Japura,ID,-0.32,102.35,87.24,66,67,1.95,moderate rain
103,Klaksvik,FO,62.23,-6.59,41.0,93,100,12.75,light rain
104,Quatre Cocos,MU,-20.21,57.76,86.0,70,40,19.46,shower rain
105,Ambovombe,MG,-25.17,46.08,89.73,46,1,15.05,clear sky
106,Fez,MA,34.04,-5.0,41.0,93,0,2.24,clear sky
107,Douentza,ML,15.0,-2.95,78.98,17,0,8.63,clear sky
108,Pevek,RU,69.7,170.31,-22.4,82,39,12.59,scattered clouds
109,Porto Novo,BJ,6.5,2.6,80.6,94,40,5.82,mist
