City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
450,Yibin,CN,54.81,few clouds,28.77,104.62,Handsome Guesthouse
463,Okato,NZ,53.01,clear sky,-39.2,173.88,Goodin Country Garden
473,Penzance,GB,48.2,overcast clouds,50.12,-5.54,Artist Residence Penzance
478,Houma,US,33.8,clear sky,29.6,-90.72,Courtyard by Marriott Houma
503,Marienburg,PL,32.0,broken clouds,54.04,19.03,Hotel Centrum Malbork
506,Chernoyerkovskaya,RU,53.6,broken clouds,45.43,37.77,Chernoyerkovskaya
510,Zhangye,CN,32.68,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
514,Port Hawkesbury,CA,50.0,overcast clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
521,Alcala De Henares,ES,33.01,clear sky,40.48,-3.36,AC Hotel by Marriott Alcala de Henares
527,Riachos,PT,39.0,clear sky,39.44,-8.51,Hotel Lusitano
531,Avallon,FR,34.11,overcast clouds,47.48,3.9,Hotel d'Avallon Vauban
532,Kinsale,IE,46.4,broken clouds,51.71,-8.53,Actons Hotel Kinsale
538,Velke Karlovice,CZ,32.0,light snow,49.36,18.28,Resort Kyčerka Velké Karlovice
548,Sochi,RU,51.8,overcast clouds,43.6,39.73,Bounty Hotel
555,Northam,GB,48.99,broken clouds,51.03,-4.22,Durrant House Hotel
558,Kermanshah,IR,35.6,clear sky,34.31,47.06,Sina Hotel
560,Beziers,FR,42.01,clear sky,43.35,3.22,Hôtel Terminus
569,Betanzos,ES,39.0,fog,43.28,-8.21,Hotel Garelos Betanzos
575,Visnes,NO,45.0,light rain,59.36,5.22,Park Inn Haugesund Airport
577,Riyadh,SA,51.8,broken clouds,24.69,46.72,InterContinental Riyadh
579,Vila,PT,44.01,clear sky,42.03,-8.16,Hotel Castrum Villae
581,Asau,RO,35.01,overcast clouds,46.43,26.4,Casa Mika Ciobanus
583,Constantine,DZ,37.4,broken clouds,36.37,6.61,Grand Hotel Cirta
585,Tawang,IN,48.11,clear sky,27.58,91.87,Hotel Mount View
594,Worthing,GB,45.0,overcast clouds,50.81,-0.37,The Chatsworth Hotel
601,Jacksonville Beach,US,35.6,clear sky,30.29,-81.39,Courtyard by Marriott Jacksonville Beach Oceanfront
613,Visby,SE,32.0,broken clouds,57.64,18.3,Best Western Solhem Hotel Visby
617,Alamogordo,US,32.0,clear sky,32.9,-105.96,Fairfield Inn & Suites by Marriott Alamogordo
625,Christchurch,NZ,53.01,moderate rain,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
628,Skegness,GB,41.0,broken clouds,53.14,0.34,The Royal Hotel
633,Krasnoye,UA,32.0,overcast clouds,49.91,24.61,Feniks
637,Eaton Socon,GB,42.01,overcast clouds,52.22,-0.29,Premier Inn St. Neots (A1/Wyboston) hotel
638,Orasac,BA,34.03,snow,44.63,16.07,Guesthouse Huco & Rasema
641,Zhanakorgan,KZ,34.47,overcast clouds,43.91,67.25,"""Ақпалас"" қонақ үйі"
656,Morro Bay,US,53.01,broken clouds,35.37,-120.85,Inn at Morro Bay
665,Tarragona,ES,43.0,clear sky,41.13,1.25,Hotel SB Ciutat de Tarragona
680,Fortuna,US,54.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
684,Xunchang,CN,53.11,scattered clouds,28.45,104.72,Jiabin Inn
692,Burgeo,CA,41.4,broken clouds,47.62,-57.62,Gillett's Motel
702,Calama,CL,44.6,clear sky,-22.47,-68.93,Park Hotel Calama
706,Margate,GB,39.99,overcast clouds,51.38,1.39,Premier Inn Margate hotel
707,Ubrique,ES,45.0,clear sky,36.68,-5.45,Hotel Sierra de Ubrique
708,Kosonsoy,UZ,39.2,moderate rain,41.26,71.55,"Гостиница ""Goldstar'"
710,Werder,DE,33.01,overcast clouds,52.38,12.93,Landhotel Potsdam
716,Dubrovnik,HR,50.0,moderate rain,42.65,18.09,Hotel Dubrovnik Palace
732,Roding,DE,32.0,clear sky,49.2,12.52,City Hotel Roding
735,London,GB,42.8,overcast clouds,51.51,-0.13,"Radisson Blu Edwardian, Hampshire"
751,Zherdevka,RU,34.7,light snow,51.85,41.46,Юнона
755,Joigny,FR,34.0,overcast clouds,47.98,3.4,La Côte Saint Jacques & Spa
760,Vestmanna,FO,41.0,light rain,62.16,-7.17,Budget Guesthouse Borgustova
761,Jishou,CN,53.85,scattered clouds,28.32,109.72,7Days Inn Jishou Railway Station
769,Huntingdon,GB,39.99,overcast clouds,52.33,-0.19,Huntingdon Marriott Hotel
772,Portland,US,48.99,overcast clouds,45.52,-122.68,The Bidwell Marriott Portland
792,Lubin,PL,36.0,broken clouds,51.4,16.2,Martiz. Hotel
797,Millinocket,US,53.6,overcast clouds,45.66,-68.71,Katahdin Inn & Suites
800,Bialystok,PL,34.0,broken clouds,53.13,23.15,"Hotel Podlasie Białystok - sala konferencyjna, sala weselna"
801,Spring Valley,US,41.0,clear sky,36.11,-115.25,Westgate Flamingo Bay Resort
806,Kushima,JP,53.6,few clouds,31.46,131.23,Hanaoka
809,Fuling,CN,49.6,overcast clouds,29.7,107.39,Yingbin Hostel
810,Zile,TR,44.6,scattered clouds,40.3,35.89,Zile Öğretmen evi
820,Huilong,CN,54.0,overcast clouds,31.81,121.66,Hilton Garden Inn Qidong
